,epsilon,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,acc,macro-F1,micro-F1
62,0.0061,0.0,0.0,0.0,0,0,0,0,1.0,0.6666666666666666,0.8,2,0,48,0,1.0,0.5,0.6666666666666666,2,0,48,0,1.0,0.9090909090909091,0.9523809523809523,0,0,48,0,1.0,0.48,0.6486486486486487,8,0,48,0,1.0,0.6296296296296297,0.7727272727272727,11,0,48,0,1.0,1.0,1.0,1,0,48,0,1.0,0.25,0.4,1,0,48,0,1.0,1.0,1.0,2,0,48,0,1.0,0.8333333333333334,0.9090909090909091,7,0,48,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1.0,0.9523809523809523,0.975609756097561,4,0,48,0,1.0,1.0,1.0,1,0,48,0,1.0,1.0,1.0,3,0,48,0,1.0,0.5,0.6666666666666666,2,0,48,0,1.0,0.6,0.7499999999999999,2,0,48,0,1.0,0.75,0.8571428571428571,7,0,48,0,1.0,0.4444444444444444,0.6153846153846153,5,0,48,0,1.0,0.8333333333333334,0.9090909090909091,2,0,48,0,1.0,0.8181818181818182,0.9,7,0,48,0,1.0,1.0,1.0,0,0,48,0,1.0,0.75,0.8571428571428571,1,0,48,0,0.690677966101695,0.5833268097448769,0.690677966101695
63,0.006200000000000001,0.0,0.0,0.0,0,0,0,0,1.0,0.6666666666666666,0.8,2,0,48,0,1.0,0.5,0.6666666666666666,2,0,48,0,1.0,0.9090909090909091,0.9523809523809523,0,0,48,0,1.0,0.48,0.6486486486486487,8,0,48,0,1.0,0.6296296296296297,0.7727272727272727,11,0,48,0,1.0,1.0,1.0,1,0,48,0,1.0,0.25,0.4,1,0,48,0,1.0,1.0,1.0,2,0,48,0,1.0,0.8333333333333334,0.9090909090909091,7,0,48,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1.0,0.9523809523809523,0.975609756097561,4,0,48,0,1.0,1.0,1.0,1,0,48,0,1.0,1.0,1.0,3,0,48,0,1.0,0.5,0.6666666666666666,2,0,48,0,1.0,0.6,0.7499999999999999,2,0,48,0,1.0,0.75,0.8571428571428571,7,0,48,0,1.0,0.4444444444444444,0.6153846153846153,5,0,48,0,1.0,0.8333333333333334,0.9090909090909091,2,0,48,0,1.0,0.8181818181818182,0.9,7,0,48,0,1.0,1.0,1.0,0,0,48,0,1.0,0.75,0.8571428571428571,1,0,48,0,0.690677966101695,0.5833268097448769,0.690677966101695
64,0.0063,0.0,0.0,0.0,0,0,0,0,1.0,0.6666666666666666,0.8,2,0,48,0,1.0,0.5,0.6666666666666666,2,0,48,0,1.0,0.9090909090909091,0.9523809523809523,0,0,48,0,1.0,0.48,0.6486486486486487,8,0,48,0,1.0,0.6296296296296297,0.7727272727272727,11,0,48,0,1.0,1.0,1.0,1,0,48,0,1.0,0.25,0.4,1,0,48,0,1.0,1.0,1.0,2,0,48,0,1.0,0.8333333333333334,0.9090909090909091,7,0,48,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1.0,0.9523809523809523,0.975609756097561,4,0,48,0,1.0,1.0,1.0,1,0,48,0,1.0,1.0,1.0,3,0,48,0,1.0,0.5,0.6666666666666666,2,0,48,0,1.0,0.6,0.7499999999999999,2,0,48,0,1.0,0.75,0.8571428571428571,7,0,48,0,1.0,0.4444444444444444,0.6153846153846153,5,0,48,0,1.0,0.8333333333333334,0.9090909090909091,2,0,48,0,1.0,0.8181818181818182,0.9,7,0,48,0,1.0,1.0,1.0,0,0,48,0,1.0,0.75,0.8571428571428571,1,0,48,0,0.690677966101695,0.5833268097448769,0.690677966101695
65,0.0064,0.0,0.0,0.0,0,0,0,0,1.0,0.6666666666666666,0.8,2,0,48,0,1.0,0.5,0.6666666666666666,2,0,48,0,1.0,0.9090909090909091,0.9523809523809523,0,0,48,0,1.0,0.48,0.6486486486486487,8,0,48,0,1.0,0.6296296296296297,0.7727272727272727,11,0,48,0,1.0,1.0,1.0,1,0,48,0,1.0,0.25,0.4,1,0,48,0,1.0,1.0,1.0,2,0,48,0,1.0,0.8333333333333334,0.9090909090909091,7,0,48,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1.0,0.9523809523809523,0.975609756097561,4,0,48,0,1.0,1.0,1.0,1,0,48,0,1.0,1.0,1.0,3,0,48,0,1.0,0.5,0.6666666666666666,2,0,48,0,1.0,0.6,0.7499999999999999,2,0,48,0,1.0,0.75,0.8571428571428571,7,0,48,0,1.0,0.4444444444444444,0.6153846153846153,5,0,48,0,1.0,0.8333333333333334,0.9090909090909091,2,0,48,0,1.0,0.8181818181818182,0.9,7,0,48,0,1.0,1.0,1.0,0,0,48,0,1.0,0.75,0.8571428571428571,1,0,48,0,0.690677966101695,0.5833268097448769,0.690677966101695
66,0.006500000000000001,0.0,0.0,0.0,0,0,0,0,1.0,0.6666666666666666,0.8,2,0,48,0,1.0,0.5,0.6666666666666666,2,0,48,0,1.0,0.9090909090909091,0.9523809523809523,0,0,48,0,1.0,0.48,0.6486486486486487,8,0,48,0,1.0,0.6296296296296297,0.7727272727272727,11,0,48,0,1.0,1.0,1.0,1,0,48,0,1.0,0.25,0.4,1,0,48,0,1.0,1.0,1.0,2,0,48,0,1.0,0.8333333333333334,0.9090909090909091,7,0,48,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1.0,0.9523809523809523,0.975609756097561,4,0,48,0,1.0,1.0,1.0,1,0,48,0,1.0,1.0,1.0,3,0,48,0,1.0,0.5,0.6666666666666666,2,0,48,0,1.0,0.6,0.7499999999999999,2,0,48,0,1.0,0.75,0.8571428571428571,7,0,48,0,1.0,0.4444444444444444,0.6153846153846153,5,0,48,0,1.0,0.8333333333333334,0.9090909090909091,2,0,48,0,1.0,0.8181818181818182,0.9,7,0,48,0,1.0,1.0,1.0,0,0,48,0,1.0,0.75,0.8571428571428571,1,0,48,0,0.690677966101695,0.5833268097448769,0.690677966101695
67,0.0066,0.0,0.0,0.0,0,0,0,0,1.0,0.6666666666666666,0.8,2,0,48,0,1.0,0.5,0.6666666666666666,2,0,48,0,1.0,0.9090909090909091,0.9523809523809523,0,0,48,0,1.0,0.48,0.6486486486486487,8,0,48,0,1.0,0.6296296296296297,0.7727272727272727,11,0,48,0,1.0,1.0,1.0,1,0,48,0,1.0,0.25,0.4,1,0,48,0,1.0,1.0,1.0,2,0,48,0,1.0,0.8333333333333334,0.9090909090909091,7,0,48,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1.0,0.9523809523809523,0.975609756097561,4,0,48,0,1.0,1.0,1.0,1,0,48,0,1.0,1.0,1.0,3,0,48,0,1.0,0.5,0.6666666666666666,2,0,48,0,1.0,0.6,0.7499999999999999,2,0,48,0,1.0,0.75,0.8571428571428571,7,0,48,0,1.0,0.4444444444444444,0.6153846153846153,5,0,48,0,1.0,0.8333333333333334,0.9090909090909091,2,0,48,0,1.0,0.8181818181818182,0.9,7,0,48,0,1.0,1.0,1.0,0,0,48,0,1.0,0.75,0.8571428571428571,1,0,48,0,0.690677966101695,0.5833268097448769,0.690677966101695
68,0.0067,0.0,0.0,0.0,0,0,0,0,1.0,0.6666666666666666,0.8,2,0,48,0,1.0,0.5,0.6666666666666666,2,0,48,0,1.0,0.9090909090909091,0.9523809523809523,0,0,48,0,1.0,0.48,0.6486486486486487,8,0,48,0,1.0,0.6296296296296297,0.7727272727272727,11,0,48,0,1.0,1.0,1.0,1,0,48,0,1.0,0.25,0.4,1,0,48,0,1.0,1.0,1.0,2,0,48,0,1.0,0.8333333333333334,0.9090909090909091,7,0,48,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1.0,0.9523809523809523,0.975609756097561,4,0,48,0,1.0,1.0,1.0,1,0,48,0,1.0,1.0,1.0,3,0,48,0,1.0,0.5,0.6666666666666666,2,0,48,0,1.0,0.6,0.7499999999999999,2,0,48,0,1.0,0.75,0.8571428571428571,7,0,48,0,1.0,0.4444444444444444,0.6153846153846153,5,0,48,0,1.0,0.8333333333333334,0.9090909090909091,2,0,48,0,1.0,0.8181818181818182,0.9,7,0,48,0,1.0,1.0,1.0,0,0,48,0,1.0,0.75,0.8571428571428571,1,0,48,0,0.690677966101695,0.5833268097448769,0.690677966101695
69,0.0068000000000000005,0.0,0.0,0.0,0,0,0,0,1.0,0.6666666666666666,0.8,2,0,48,0,1.0,0.5,0.6666666666666666,2,0,48,0,1.0,0.9090909090909091,0.9523809523809523,0,0,48,0,1.0,0.48,0.6486486486486487,8,0,48,0,1.0,0.6296296296296297,0.7727272727272727,11,0,48,0,1.0,1.0,1.0,1,0,48,0,1.0,0.25,0.4,1,0,48,0,1.0,1.0,1.0,2,0,48,0,1.0,0.8333333333333334,0.9090909090909091,7,0,48,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1.0,0.9523809523809523,0.975609756097561,4,0,48,0,1.0,1.0,1.0,1,0,48,0,1.0,1.0,1.0,3,0,48,0,1.0,0.5,0.6666666666666666,2,0,48,0,1.0,0.6,0.7499999999999999,2,0,48,0,1.0,0.75,0.8571428571428571,7,0,48,0,1.0,0.4444444444444444,0.6153846153846153,5,0,48,0,1.0,0.8333333333333334,0.9090909090909091,2,0,48,0,1.0,0.8181818181818182,0.9,7,0,48,0,1.0,1.0,1.0,0,0,48,0,1.0,0.75,0.8571428571428571,1,0,48,0,0.690677966101695,0.5833268097448769,0.690677966101695
70,0.006900000000000001,0.0,0.0,0.0,0,0,0,0,1.0,0.6666666666666666,0.8,2,0,48,0,1.0,0.5,0.6666666666666666,2,0,48,0,1.0,0.9090909090909091,0.9523809523809523,0,0,48,0,1.0,0.48,0.6486486486486487,8,0,48,0,1.0,0.6296296296296297,0.7727272727272727,11,0,48,0,1.0,1.0,1.0,1,0,48,0,1.0,0.25,0.4,1,0,48,0,1.0,1.0,1.0,2,0,48,0,1.0,0.8333333333333334,0.9090909090909091,7,0,48,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1.0,0.9523809523809523,0.975609756097561,4,0,48,0,1.0,1.0,1.0,1,0,48,0,1.0,1.0,1.0,3,0,48,0,1.0,0.5,0.6666666666666666,2,0,48,0,1.0,0.6,0.7499999999999999,2,0,48,0,1.0,0.75,0.8571428571428571,7,0,48,0,1.0,0.4444444444444444,0.6153846153846153,5,0,48,0,1.0,0.8333333333333334,0.9090909090909091,2,0,48,0,1.0,0.8181818181818182,0.9,7,0,48,0,1.0,1.0,1.0,0,0,48,0,1.0,0.75,0.8571428571428571,1,0,48,0,0.690677966101695,0.5833268097448769,0.690677966101695
71,0.007,0.0,0.0,0.0,0,0,0,0,1.0,0.6666666666666666,0.8,2,0,48,0,1.0,0.5,0.6666666666666666,2,0,48,0,1.0,0.9090909090909091,0.9523809523809523,0,0,48,0,1.0,0.48,0.6486486486486487,8,0,48,0,1.0,0.6296296296296297,0.7727272727272727,11,0,48,0,1.0,1.0,1.0,1,0,48,0,1.0,0.25,0.4,1,0,48,0,1.0,1.0,1.0,2,0,48,0,1.0,0.8333333333333334,0.9090909090909091,7,0,48,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1.0,0.9523809523809523,0.975609756097561,4,0,48,0,1.0,1.0,1.0,1,0,48,0,1.0,1.0,1.0,3,0,48,0,1.0,0.5,0.6666666666666666,2,0,48,0,1.0,0.6,0.7499999999999999,2,0,48,0,1.0,0.75,0.8571428571428571,7,0,48,0,1.0,0.4444444444444444,0.6153846153846153,5,0,48,0,1.0,0.8333333333333334,0.9090909090909091,2,0,48,0,1.0,0.8181818181818182,0.9,7,0,48,0,1.0,1.0,1.0,0,0,48,0,1.0,0.75,0.8571428571428571,1,0,48,0,0.690677966101695,0.5833268097448769,0.690677966101695
72,0.0071,0.0,0.0,0.0,0,0,0,0,1.0,0.6666666666666666,0.8,2,0,48,0,1.0,0.5,0.6666666666666666,2,0,48,0,1.0,0.9090909090909091,0.9523809523809523,0,0,48,0,1.0,0.48,0.6486486486486487,8,0,48,0,1.0,0.6296296296296297,0.7727272727272727,11,0,48,0,1.0,1.0,1.0,1,0,48,0,1.0,0.25,0.4,1,0,48,0,1.0,1.0,1.0,2,0,48,0,1.0,0.8333333333333334,0.9090909090909091,7,0,48,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1.0,0.9523809523809523,0.975609756097561,4,0,48,0,1.0,1.0,1.0,1,0,48,0,1.0,1.0,1.0,3,0,48,0,1.0,0.5,0.6666666666666666,2,0,48,0,1.0,0.6,0.7499999999999999,2,0,48,0,1.0,0.75,0.8571428571428571,7,0,48,0,1.0,0.4444444444444444,0.6153846153846153,5,0,48,0,1.0,0.8333333333333334,0.9090909090909091,2,0,48,0,1.0,0.8181818181818182,0.9,7,0,48,0,1.0,1.0,1.0,0,0,48,0,1.0,0.75,0.8571428571428571,1,0,48,0,0.690677966101695,0.5833268097448769,0.690677966101695
73,0.007200000000000001,0.0,0.0,0.0,0,0,0,0,1.0,0.6666666666666666,0.8,2,0,48,0,1.0,0.5,0.6666666666666666,2,0,48,0,1.0,0.9090909090909091,0.9523809523809523,0,0,48,0,1.0,0.48,0.6486486486486487,8,0,48,0,1.0,0.6296296296296297,0.7727272727272727,11,0,48,0,1.0,1.0,1.0,1,0,48,0,1.0,0.25,0.4,1,0,48,0,1.0,1.0,1.0,2,0,48,0,1.0,0.8333333333333334,0.9090909090909091,7,0,48,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1.0,0.9523809523809523,0.975609756097561,4,0,48,0,1.0,1.0,1.0,1,0,48,0,1.0,1.0,1.0,3,0,48,0,1.0,0.5,0.6666666666666666,2,0,48,0,1.0,0.6,0.7499999999999999,2,0,48,0,1.0,0.75,0.8571428571428571,7,0,48,0,1.0,0.4444444444444444,0.6153846153846153,5,0,48,0,1.0,0.8333333333333334,0.9090909090909091,2,0,48,0,1.0,0.8181818181818182,0.9,7,0,48,0,1.0,1.0,1.0,0,0,48,0,1.0,0.75,0.8571428571428571,1,0,48,0,0.690677966101695,0.5833268097448769,0.690677966101695
74,0.0073,0.0,0.0,0.0,0,0,0,0,1.0,0.6666666666666666,0.8,2,0,48,0,1.0,0.5,0.6666666666666666,2,0,48,0,1.0,0.9090909090909091,0.9523809523809523,0,0,48,0,1.0,0.48,0.6486486486486487,8,0,48,0,1.0,0.6296296296296297,0.7727272727272727,11,0,48,0,1.0,1.0,1.0,1,0,48,0,1.0,0.25,0.4,1,0,48,0,1.0,1.0,1.0,2,0,48,0,1.0,0.8333333333333334,0.9090909090909091,7,0,48,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1.0,0.9523809523809523,0.975609756097561,4,0,48,0,1.0,1.0,1.0,1,0,48,0,1.0,1.0,1.0,3,0,48,0,1.0,0.5,0.6666666666666666,2,0,48,0,1.0,0.6,0.7499999999999999,2,0,48,0,1.0,0.75,0.8571428571428571,7,0,48,0,1.0,0.4444444444444444,0.6153846153846153,5,0,48,0,1.0,0.8333333333333334,0.9090909090909091,2,0,48,0,1.0,0.8181818181818182,0.9,7,0,48,0,1.0,1.0,1.0,0,0,48,0,1.0,0.75,0.8571428571428571,1,0,48,0,0.690677966101695,0.5833268097448769,0.690677966101695
75,0.0074,0.0,0.0,0.0,0,0,0,0,1.0,0.6666666666666666,0.8,2,0,48,0,1.0,0.5,0.6666666666666666,2,0,48,0,1.0,0.9090909090909091,0.9523809523809523,0,0,48,0,1.0,0.48,0.6486486486486487,8,0,48,0,1.0,0.6296296296296297,0.7727272727272727,11,0,48,0,1.0,1.0,1.0,1,0,48,0,1.0,0.25,0.4,1,0,48,0,1.0,1.0,1.0,2,0,48,0,1.0,0.8333333333333334,0.9090909090909091,7,0,48,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1.0,0.9523809523809523,0.975609756097561,4,0,48,0,1.0,1.0,1.0,1,0,48,0,1.0,1.0,1.0,3,0,48,0,1.0,0.5,0.6666666666666666,2,0,48,0,1.0,0.6,0.7499999999999999,2,0,48,0,1.0,0.75,0.8571428571428571,7,0,48,0,1.0,0.4444444444444444,0.6153846153846153,5,0,48,0,1.0,0.8333333333333334,0.9090909090909091,2,0,48,0,1.0,0.8181818181818182,0.9,7,0,48,0,1.0,1.0,1.0,0,0,48,0,1.0,0.75,0.8571428571428571,1,0,48,0,0.690677966101695,0.5833268097448769,0.690677966101695
76,0.007500000000000001,0.0,0.0,0.0,0,0,0,0,1.0,0.6666666666666666,0.8,2,0,48,0,1.0,0.5,0.6666666666666666,2,0,48,0,1.0,0.9090909090909091,0.9523809523809523,0,0,48,0,1.0,0.48,0.6486486486486487,8,0,48,0,1.0,0.6296296296296297,0.7727272727272727,11,0,48,0,1.0,1.0,1.0,1,0,48,0,1.0,0.25,0.4,1,0,48,0,1.0,1.0,1.0,2,0,48,0,1.0,0.8333333333333334,0.9090909090909091,7,0,48,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1.0,0.9523809523809523,0.975609756097561,4,0,48,0,1.0,1.0,1.0,1,0,48,0,1.0,1.0,1.0,3,0,48,0,1.0,0.5,0.6666666666666666,2,0,48,0,1.0,0.6,0.7499999999999999,2,0,48,0,1.0,0.75,0.8571428571428571,7,0,48,0,1.0,0.4444444444444444,0.6153846153846153,5,0,48,0,1.0,0.8333333333333334,0.9090909090909091,2,0,48,0,1.0,0.8181818181818182,0.9,7,0,48,0,1.0,1.0,1.0,0,0,48,0,1.0,0.75,0.8571428571428571,1,0,48,0,0.690677966101695,0.5833268097448769,0.690677966101695
77,0.0076,0.0,0.0,0.0,0,0,0,0,1.0,0.6666666666666666,0.8,2,0,48,0,1.0,0.5,0.6666666666666666,2,0,48,0,1.0,0.9090909090909091,0.9523809523809523,0,0,48,0,1.0,0.48,0.6486486486486487,8,0,48,0,1.0,0.6296296296296297,0.7727272727272727,11,0,48,0,1.0,1.0,1.0,1,0,48,0,1.0,0.25,0.4,1,0,48,0,1.0,1.0,1.0,2,0,48,0,1.0,0.8333333333333334,0.9090909090909091,7,0,48,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1.0,0.9523809523809523,0.975609756097561,4,0,48,0,1.0,1.0,1.0,1,0,48,0,1.0,1.0,1.0,3,0,48,0,1.0,0.5,0.6666666666666666,2,0,48,0,1.0,0.6,0.7499999999999999,2,0,48,0,1.0,0.75,0.8571428571428571,7,0,48,0,1.0,0.4444444444444444,0.6153846153846153,5,0,48,0,1.0,0.8333333333333334,0.9090909090909091,2,0,48,0,1.0,0.8181818181818182,0.9,7,0,48,0,1.0,1.0,1.0,0,0,48,0,1.0,0.75,0.8571428571428571,1,0,48,0,0.690677966101695,0.5833268097448769,0.690677966101695
78,0.0077,0.0,0.0,0.0,0,0,0,0,1.0,0.6666666666666666,0.8,2,0,48,0,1.0,0.5,0.6666666666666666,2,0,48,0,1.0,0.9090909090909091,0.9523809523809523,0,0,48,0,1.0,0.48,0.6486486486486487,8,0,48,0,1.0,0.6296296296296297,0.7727272727272727,11,0,48,0,1.0,1.0,1.0,1,0,48,0,1.0,0.25,0.4,1,0,48,0,1.0,1.0,1.0,2,0,48,0,1.0,0.8333333333333334,0.9090909090909091,7,0,48,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1.0,0.9523809523809523,0.975609756097561,4,0,48,0,1.0,1.0,1.0,1,0,48,0,1.0,1.0,1.0,3,0,48,0,1.0,0.5,0.6666666666666666,2,0,48,0,1.0,0.6,0.7499999999999999,2,0,48,0,1.0,0.75,0.8571428571428571,7,0,48,0,1.0,0.4444444444444444,0.6153846153846153,5,0,48,0,1.0,0.8333333333333334,0.9090909090909091,2,0,48,0,1.0,0.8181818181818182,0.9,7,0,48,0,1.0,1.0,1.0,0,0,48,0,1.0,0.75,0.8571428571428571,1,0,48,0,0.690677966101695,0.5833268097448769,0.690677966101695
79,0.0078000000000000005,0.0,0.0,0.0,0,0,0,0,1.0,0.6666666666666666,0.8,2,0,48,0,1.0,0.5,0.6666666666666666,2,0,48,0,1.0,0.9090909090909091,0.9523809523809523,0,0,48,0,1.0,0.48,0.6486486486486487,8,0,48,0,1.0,0.6296296296296297,0.7727272727272727,11,0,48,0,1.0,1.0,1.0,1,0,48,0,1.0,0.25,0.4,1,0,48,0,1.0,1.0,1.0,2,0,48,0,1.0,0.8333333333333334,0.9090909090909091,7,0,48,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1.0,0.9523809523809523,0.975609756097561,4,0,48,0,1.0,1.0,1.0,1,0,48,0,1.0,1.0,1.0,3,0,48,0,1.0,0.5,0.6666666666666666,2,0,48,0,1.0,0.6,0.7499999999999999,2,0,48,0,1.0,0.75,0.8571428571428571,7,0,48,0,1.0,0.4444444444444444,0.6153846153846153,5,0,48,0,1.0,0.8333333333333334,0.9090909090909091,2,0,48,0,1.0,0.8181818181818182,0.9,7,0,48,0,1.0,1.0,1.0,0,0,48,0,1.0,0.75,0.8571428571428571,1,0,48,0,0.690677966101695,0.5833268097448769,0.690677966101695
80,0.0079,0.0,0.0,0.0,0,0,0,0,1.0,0.6666666666666666,0.8,2,0,48,0,1.0,0.5,0.6666666666666666,2,0,48,0,1.0,0.9090909090909091,0.9523809523809523,0,0,48,0,1.0,0.48,0.6486486486486487,8,0,48,0,1.0,0.6296296296296297,0.7727272727272727,11,0,48,0,1.0,1.0,1.0,1,0,48,0,1.0,0.25,0.4,1,0,48,0,1.0,1.0,1.0,2,0,48,0,1.0,0.8333333333333334,0.9090909090909091,7,0,48,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1.0,0.9523809523809523,0.975609756097561,4,0,48,0,1.0,1.0,1.0,1,0,48,0,1.0,1.0,1.0,3,0,48,0,1.0,0.5,0.6666666666666666,2,0,48,0,1.0,0.6,0.7499999999999999,2,0,48,0,1.0,0.75,0.8571428571428571,7,0,48,0,1.0,0.4444444444444444,0.6153846153846153,5,0,48,0,1.0,0.8333333333333334,0.9090909090909091,2,0,48,0,1.0,0.8181818181818182,0.9,7,0,48,0,1.0,1.0,1.0,0,0,48,0,1.0,0.75,0.8571428571428571,1,0,48,0,0.690677966101695,0.5833268097448769,0.690677966101695
81,0.008,0.0,0.0,0.0,0,0,0,0,1.0,0.6666666666666666,0.8,2,0,48,0,1.0,0.5,0.6666666666666666,2,0,48,0,1.0,0.9090909090909091,0.9523809523809523,0,0,48,0,1.0,0.48,0.6486486486486487,8,0,48,0,1.0,0.6296296296296297,0.7727272727272727,11,0,48,0,1.0,1.0,1.0,1,0,48,0,1.0,0.25,0.4,1,0,48,0,1.0,1.0,1.0,2,0,48,0,1.0,0.8333333333333334,0.9090909090909091,7,0,48,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1.0,0.9523809523809523,0.975609756097561,4,0,48,0,1.0,1.0,1.0,1,0,48,0,1.0,1.0,1.0,3,0,48,0,1.0,0.5,0.6666666666666666,2,0,48,0,1.0,0.6,0.7499999999999999,2,0,48,0,1.0,0.75,0.8571428571428571,7,0,48,0,1.0,0.4444444444444444,0.6153846153846153,5,0,48,0,1.0,0.8333333333333334,0.9090909090909091,2,0,48,0,1.0,0.8181818181818182,0.9,7,0,48,0,1.0,1.0,1.0,0,0,48,0,1.0,0.75,0.8571428571428571,1,0,48,0,0.690677966101695,0.5833268097448769,0.690677966101695
82,0.0081,0.0,0.0,0.0,0,0,0,0,1.0,0.6666666666666666,0.8,2,0,48,0,1.0,0.5,0.6666666666666666,2,0,48,0,1.0,0.9090909090909091,0.9523809523809523,0,0,48,0,1.0,0.48,0.6486486486486487,8,0,48,0,1.0,0.6296296296296297,0.7727272727272727,11,0,48,0,1.0,1.0,1.0,1,0,48,0,1.0,0.25,0.4,1,0,48,0,1.0,1.0,1.0,2,0,48,0,1.0,0.8333333333333334,0.9090909090909091,7,0,48,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1.0,0.9523809523809523,0.975609756097561,4,0,48,0,1.0,1.0,1.0,1,0,48,0,1.0,1.0,1.0,3,0,48,0,1.0,0.5,0.6666666666666666,2,0,48,0,1.0,0.6,0.7499999999999999,2,0,48,0,1.0,0.75,0.8571428571428571,7,0,48,0,1.0,0.4444444444444444,0.6153846153846153,5,0,48,0,1.0,0.8333333333333334,0.9090909090909091,2,0,48,0,1.0,0.8181818181818182,0.9,7,0,48,0,1.0,1.0,1.0,0,0,48,0,1.0,0.75,0.8571428571428571,1,0,48,0,0.690677966101695,0.5833268097448769,0.690677966101695
